2|CNTT|55|1|2|1|2026-04-09 08:00|2026-04-09 17:00|0|CNTT
3|QTKD|50|2|1|1|2026-04-10 07:30|2026-04-10 16:30|0|QTKD
4|CK|45|3|1|2|2026-04-11 13:00|2026-04-12 21:00|0|CK
5|DTVT|48|4|2|1|2026-04-12 09:00|2026-04-12 18:00|0|DTVT
6|XD|52|5|1|1|2026-04-13 08:00|2026-04-13 17:00|0|XD
7|NN|40|6|2|1|2026-04-14 07:00|2026-04-14 12:00|0|NN
8|AI|65|7|1|3|2026-04-15 13:30|2026-04-15 22:00|0|AI
9|ATTT|58|8|2|2|2026-04-16 08:00|2026-04-16 17:30|0|ATTT
10|MKT|46|9|1|1|2026-04-17 09:00|2026-04-17 15:00|0|MKT
11|KT|44|10|2|1|2026-04-18 08:30|2026-04-18 16:30|0|KT
12|IT|60|1|1|1|2026-04-19 10:00|2026-04-20 20:00|0|IT
